stop_id,stop_name,stop_lat,stop_lon,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,sample_size,last_updated
8220DB001063,South Hill,53.308572,-6.258863,weekday,evening,,100.0,3.16,0.81,2,2026-07-03 02:53:36.731074
8220DB002414,Westbrook,53.314074,-6.310854,weekday,evening,4.5,100.0,0.0,0.34,61,2026-07-03 02:53:36.731074
8250DB4557,UCD Sports Centre,53.30782,-6.22925,weekday,evening,,100.0,1.12,,1,2026-07-03 02:53:36.731074
8220DB001062,Chuchtown Rd Lwr,53.30826,-6.255319,weekday,evening,,100.0,2.88,1.05,11,2026-07-03 02:53:36.731074
8250DB007951,UCD Newman,53.30508,-6.2227,weekday,evening,,100.0,0.56,0.96,3,2026-07-03 02:53:36.731074
8250DB003169,St Augustine's Sch,53.288573,-6.180568,weekday,evening,,0.0,6.35,0.0,2,2026-07-03 02:53:36.731074
8250DB000464,Southhill Avenue,53.298202,-6.198522,weekday,evening,,100.0,-8.83,2.77,3,2026-07-03 02:53:36.731074
8250DB000465,Clanfadda Wood,53.298901,-6.195972,weekday,evening,,100.0,-3.59,3.06,5,2026-07-03 02:53:36.731074
8250DB001307,Ely House,53.294203,-6.27763,weekday,evening,,100.0,1.07,,1,2026-07-03 02:53:36.731074
8250DB001310,Nutgrove Retail Pk,53.291717,-6.267319,weekday,evening,,100.0,1.07,,1,2026-07-03 02:53:36.731074
8230DB002616,St Maelruan's Park,53.284641,-6.360639,weekday,pm_peak,,18.8,10.23,4.87,16,2026-07-03 02:53:36.731074
8230DB001139,Old Bridge Road,53.294224,-6.306747,weekday,evening,,100.0,-2.89,4.88,4,2026-07-03 02:53:36.731074
8230DB001329,Rathfarnham Wood,53.294967,-6.281994,weekday,evening,,100.0,-4.55,3.81,6,2026-07-03 02:53:36.731074
8230DB001330,Grange Rd N,53.296191,-6.283986,weekday,evening,4.5,100.0,-0.48,1.84,61,2026-07-03 02:53:36.731074
8250GD10098,Taney Road,53.292293,-6.231317,weekday,evening,,100.0,-3.74,2.45,6,2026-07-03 02:53:36.731074
8250DB003085,Blackrock Station,53.30248,-6.178371,weekday,pm_peak,,100.0,-1.83,0.0,2,2026-07-03 02:53:36.731074
8250DB003164,Temple Hill,53.2956,-6.169887,weekday,pm_peak,,100.0,0.12,0.56,25,2026-07-03 02:53:36.731074
