route_id,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,cancellation_rate,sample_size,last_updated
1 C4 c,weekday,evening,4.5,93.9,0.76,2.98,0.0,751,2026-07-02 18:20:24.428456
1 F1 a,weekday,pm_peak,1.0,40.5,8.97,8.02,0.0,795,2026-07-02 18:20:24.428456
1 F3 a,weekday,pm_peak,2.0,66.6,4.06,7.09,0.0,724,2026-07-02 18:20:24.428456
1 L25,weekday,pm_peak,2.5,72.0,2.71,4.44,0.0,564,2026-07-02 18:20:24.428456
1 L53 c,weekday,pm_peak,4.5,100.0,0.35,0.96,0.0,255,2026-07-02 18:20:24.428456
1 L58 b,weekday,evening,4.5,100.0,-0.01,0.01,0.0,216,2026-07-02 18:20:24.428456
1 X2 a,weekday,pm_peak,4.5,100.0,-2.14,4.18,0.0,70,2026-07-02 18:20:24.428456
1 15 c a,weekday,pm_peak,1.0,50.8,6.19,7.29,0.0,956,2026-07-02 18:20:24.428456
1 27 c a,weekday,evening,4.5,95.1,0.62,3.04,0.0,3609,2026-07-02 18:20:24.428456
1 27B c a,weekday,pm_peak,3.0,75.8,3.28,5.32,0.0,669,2026-07-02 18:20:24.428456
1 33 c a,weekday,pm_peak,1.0,46.8,12.6,11.61,0.0,329,2026-07-02 18:20:24.428456
2 133 e,weekday,evening,3.5,77.0,3.01,3.71,0.0,135,2026-07-02 18:20:24.428456
2 174A c a,weekday,evening,4.5,100.0,0.46,0.88,0.0,153,2026-07-02 18:20:24.428456
2 202 c b,weekday,evening,2.0,60.0,37.18,47.85,0.0,225,2026-07-02 18:20:24.428456
2 202A c a,weekday,evening,2.0,66.7,24.45,39.98,0.0,243,2026-07-02 18:20:24.428456
2 203 c b,weekday,pm_peak,1.0,10.1,35.52,18.99,0.0,414,2026-07-02 18:20:24.428456
2 206 c a,weekday,pm_peak,1.0,0.0,22.99,22.04,0.0,463,2026-07-02 18:20:24.428456
2 103 c a,weekday,evening,3.0,85.6,3.84,12.24,0.0,216,2026-07-02 18:20:24.428456
2 213 d,weekday,evening,3.0,89.9,12.16,34.38,0.0,188,2026-07-02 18:20:24.428456
2 216 d,weekday,pm_peak,2.0,69.8,15.3,38.97,0.0,179,2026-07-02 18:20:24.428456
2 225 c a,weekday,pm_peak,2.0,68.0,3.75,5.44,0.0,147,2026-07-02 18:20:24.428456
2 105 c a,weekday,evening,3.0,76.6,3.64,6.15,0.0,192,2026-07-02 18:20:24.428456
2 306 c c,weekday,pm_peak,4.5,100.0,1.76,1.75,0.0,115,2026-07-02 18:20:24.428456
2 316 a,weekday,evening,,75.0,1.42,2.84,0.0,4,2026-07-02 18:20:24.428456
2 330 a,weekday,evening,3.0,89.1,7.61,18.89,0.0,55,2026-07-02 18:20:24.428456
2 332 d,weekday,evening,,69.6,3.27,4.83,0.0,23,2026-07-02 18:20:24.428456
